TransID;ElemID
681108;122710
681108;126235
681108;128551
681112;95223
681117;77934
681117;83061
681117;122678
681117;124080
681117;124404
681117;124881
681117;125885
681117;126351
681117;128456
681117;128614
681117;128625
681117;128664
681117;129190
681117;129339
681117;129341
681120;97445
681122;97864
681122;125327
681122;129494
681123;128801
681126;104207
681126;124373
681126;125600
681127;107358
681127;124494
681127;124495
681127;124920
681132;83061
681132;96091
681132;119716
681132;122808
681132;124403
681132;124405
681132;128588
681132;128664
681132;129206
681132;129339
681132;129341
681136;86894
681139;123692
681139;124374
681139;124881
681143;39763
681143;123116
681148;128062
681152;125427
681152;126258
681152;128614
681152;128625
681156;122678
681156;125327
681156;128141
681156;129717
681159;100293
681159;103567
681159;113750
681159;122775
681159;123116
681159;123654
681162;96687
681162;123620
681162;128950
681162;129771
681165;110084
681165;122678
681165;124403
681165;125885
681165;125929
681167;91803
681167;97518
681167;120986
681167;126155
681167;126561
681170;124526
681174;96687
681174;123620
681174;128950
681174;129771
681186;121697
681191;119089
681191;123316
681203;101443
681203;124696
681204;102209
681210;103210
681210;125671
681212;115411
681212;126438
681215;127916
681215;128479
681218;128614
681219;78760
681221;122825
681221;123620
681221;129771
681234;127424
681239;92954
681239;98155
681239;99824
681241;122649
681241;123468
681241;129339
681246;90781
681246;119293
681246;122469
681246;122678
681246;125885
681248;128489
681255;113510
681256;79472
681256;93558
681256;103567
681256;114485
681256;122775
681265;102243
681265;102249
681268;71275
681268;92133
681268;94391
681268;97864
681268;122678
681268;125327
681268;125885
681271;102786
681274;125327
681274;125412
681274;125427
681274;126455
681274;127577
681274;128222
681280;98985
681287;43788
681289;79420
681289;105059
681289;126298
681290;64979
681298;123316
681301;105914
681301;116269
681301;128354
681306;123638
681306;128664
681306;129339
681308;113042
681309;127336
681318;129589
681321;104947
681323;122824
681323;124457
681323;129771
681328;105059
681337;126508
681338;126348
681343;107219
681349;125293
681350;122674
681350;123038
681350;123039
681355;91842
681355;97467
681357;92130
681357;93558
681357;98491
681357;104522
681357;106972
681357;116223
681357;117430
681357;121865
681357;122653
681357;122676
681357;122677
681357;122678
681357;122775
681357;122781
681357;124080
681357;125885
681357;126160
681357;126568
681357;127055
681357;127916
681357;128551
681357;128664
681357;128852
681357;129339
681357;129341
681357;129684
681358;128852
681363;98792
681368;80088
681368;120098
681370;124463
681371;126307
681373;128544
681375;86403
681375;123456
681375;126306
681379;107357
681379;124575
681389;55945
681389;68682
681389;90260
681389;90261
681389;94391
681389;97467
681389;115496
681389;116201
681389;120110
681389;121269
681389;122960
681389;123447
681389;124168
681389;124881
681389;125156
681389;125353
681389;125600
681389;126833
681389;128654
681389;129485
681389;129494
681394;107445
681403;127476
681411;124465
681411;127810
681418;77745
681418;106375
681418;115081
681418;125166
681418;127376
681418;129775
681422;123456
681422;125595
681426;129478
681429;102686
681429;122558
681429;124588
681438;122700
681438;122777
681438;126235
681438;127605
681438;128540
681438;129344
681438;129497
681439;117110
681439;128414
681439;129332
681444;98102
681444;99682
681444;122943
681446;122801
681448;128554
681460;104522
681460;122673
681460;128251
681460;128551
681460;129196
681460;129339
681474;109445
681475;129503
681476;127916
681476;128479
681482;106972
681482;124486
681482;126160
681495;122686
681495;122710
681495;128551
681495;129190
681495;129684
681496;127002
681499;127916
681509;123620
681509;127336
681510;102841
681516;119293
681520;79319
681520;91688
681520;120866
681520;122683
681521;107479
681523;103198
681525;124536
681525;124537
681525;124739
681525;124745
681525;127916
681525;129323
681531;124483
681531;125427
681531;129426
681534;124769
681537;124494
681537;124495
681537;128141
681537;129714
681540;124392
681543;125427
681555;101443
681559;129319
681562;127336
681568;127804
681570;99684
681570;99685
681570;122925
681572;118526
681572;125327
681574;124271
681576;96732
681576;122368
681579;122811
681579;127798
681579;129343
